A_COMMENTS,CAPTION,CARDINALITY,CREATION_DATE,HINT,LAST_UPDATE,RELATION,SOURCE_CLASS,SOURCE_CLASS_CAPTION,TARGET_CLASS
The architecture object that the policy architecture connection references.,Architecture Element,1/N,12/15/2021 15:39,The architecture object that the policy architecture connection references.,11/25/2024 10:57,Object,ITPolicyArch,Policy Architecture Connection,BusinessObject
The architecture object that the policy architecture connection references.,Architecture Element,1/N,12/15/2021 15:39,The architecture object that the policy architecture connection references.,6/26/2024 12:59,Object,ITPolicyArch,Policy Architecture Connection,CustomerSegment
The architecture object that the policy architecture connection references.,Architecture Element,1/N,12/15/2021 15:39,The architecture object that the policy architecture connection references.,6/26/2024 12:59,Object,ITPolicyArch,Policy Architecture Connection,SalesChannel
The architecture object that the policy architecture connection references.,Architecture Element,1/N,12/15/2021 15:39,The architecture object that the policy architecture connection references.,6/26/2024 12:59,Object,ITPolicyArch,Policy Architecture Connection,Application
The architecture object that the policy architecture connection references.,Architecture Element,1/N,12/15/2021 15:39,The architecture object that the policy architecture connection references.,6/26/2024 12:59,Object,ITPolicyArch,Policy Architecture Connection,Component
The ARIS business processes supported by this application,ARIS Processes,N/N,12/15/2021 15:39,The ARIS business processes supported by this application,6/27/2024 11:47,EA_MM__ARISProcesses,Application,Application,BusinessProcess
The ascendant business process group.,Parent Business Process Group,1/N,12/15/2021 15:39,The parent business process group that this business process group is subordinate to.,6/26/2024 12:59,BELONGSTO,BusinessProcessGroup,Business Process Group,BusinessProcessGroup
The ascendant component category that this component category is subordinate to.,Parent Component Category,1/N,12/15/2021 15:39,The parent component category that this component category is subordinate to.,6/26/2024 12:59,BELONGSTO,ComponentCategory,Component Category,ComponentCategory
The ascendant domain group.,Parent Domain Group,1/N,12/15/2021 15:39,The parent domain group that this domain group is subordinate to.,6/26/2024 12:59,BELONGSTO,DomainGroup,Domain Group,DomainGroup
The ascendant domain that this domain is subordinate to.,Parent Domain,1/N,12/15/2021 15:39,The parent domain that this domain is subordinate to.,6/26/2024 12:59,BELONGSTO,SolutionDomain,Solution Domain,SolutionDomain
The ascendant market product group that this market product group is subordinate to.,Parent Market Product Group,1/N,12/15/2021 15:39,The parent market product group that this market product group is subordinate to.,6/26/2024 12:59,BELONGSTO,MarketProductGroup,Market Product Group,MarketProductGroup
The ascendant migration group that this migration group is subordinate to.,Parent Migration Group,1/N,12/15/2021 15:39,The parent migration group that this migration group is subordinate to.,6/26/2024 12:59,BELONGSTO,MigrationGroup,Migration Group,MigrationGroup
The ascendant principle that the principle is subordinate to.,Parent Principle,1/N,12/15/2021 15:39,The parent principle that this principle is subordinate to.,6/26/2024 12:59,BELONGSTO,Principle,Principle,Principle
The ascendant project group that this project group is subordinate to.,Parent Project Group,1/N,12/15/2021 15:39,The parent project group that this project group is subordinate to.,6/26/2024 12:59,BELONGSTO,ProjectGroup,Project Group,ProjectGroup
The ascendant risk management group that this risk management group is subordinate to.,Parent Group,1/N,12/15/2021 15:39,The ascendant risk management group that this risk management group is subordinate to.,6/26/2024 12:59,PARENT,RiskGroup,Risk Management Group,RiskGroup
The ascendant risk mitigation category that this risk mitigation category is subordinate to.,Parent Risk Mitigation Category,1/N,12/15/2021 15:39,The parent risk mitigation category that this risk mitigation category is subordinate to.,6/26/2024 12:59,BELONGSTO,RiskMitigationCategory,Risk Mitigation Template Category,RiskMitigationCategory
The ascendant value stream group.,Parent Value Stream Group,1/N,12/15/2021 15:39,The parent value stream group that this value stream group is subordinate to.,6/26/2024 12:59,BELONGSTO,ValueStreamGroup,Value Stream Group,ValueStreamGroup
The aspect evaluation that the indicator references. Aspect evaluation types are configured in EA_MM in the Class Configuration functionality in the Configuration module.,Aspect,1/N,12/15/2021 15:39,The aspect evaluation that the indicator references.,6/26/2024 12:59,Aspect,ProjectIndicator,Project Indicator,Project
The aspect evaluation types assigned to either the object class Application or Component.,Aspect Evaluation Types,N/N,12/15/2021 15:39,The aspect evaluation types assigned to either the object class Application or Component.,6/26/2024 12:59,AspectEvaluationTypes,ClassConfiguration,Class Configuration,EvaluationType
The aspect portfolios assigned to either the object class Application or Component.,Aspect Portfolios,N/N,12/15/2021 15:39,The aspect portfolios assigned to either the object class Application or Component.,6/26/2024 12:59,AspectPortfolios,ClassConfiguration,Class Configuration,ITPortfolio
The aspect prioritization schemes assigned to either the object class Application or Component.,Aspect Prioritization Schemes,N/N,12/15/2021 15:39,The aspect prioritization schemes assigned to either the object class Application or Component.,6/26/2024 12:59,AspectPrioritizationSchemes,ClassConfiguration,Class Configuration,PrioritizationScheme
The attachments associated with the activity.,Attachments,N/N,12/15/2021 15:39,The attachments associated with the activity.,6/26/2024 12:59,Documents,BFServiceActivity,Service Activity,ALFA_IDOCUMENT
The attachments associated with the activity.,Attachments,N/N,12/15/2021 15:39,The attachments associated with the activity.,6/26/2024 12:59,Documents,BFActivity,Activity,ALFA_IDOCUMENT
